X,Y,OBJECTID,METERTYPE,METERID,ROUTEID,SIDE,MEAS,LON,LAT,DDOTLON,DDOTLAT,DDOTMDSPX,DDOTMDSPY,STREET,BLOCK,METERMODEL,METERSTATUS,METERSTATE,METERSPACES,ISADA,PMZONE,TRANSMISSIONDATE,ERRORCODES
-77.007639309200002,38.8783532725,2012123,Single,61460001,13050892,South,123.79696655,-77.00763702,38.87834549,,,-77.00763702,38.87840652,K ST SE,0,IPS Cash and Card,Active,Removed,1,N,21130,202002123354,NoPolicy_
-77.005998987699996,38.8784600834,2012124,Single,61460002,,,,-77.0059967,38.8784523,,,,,K ST SE,0,IPS Cash and Card,Active,Removed,1,N,21129,202002123354,NoPolicy_TooFarFromCenterline_
-77.010225675399994,38.897846378700002,2012125,Single,62240028,11059602,Southwest,108.10363007,-77.01022339,38.89783859,,,-77.01016998,38.8979187,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22943,202002123354,NoPolicy_
-77.009897611499994,38.897892154799997,2012126,Single,62240029,11059602,Northeast,85.21367645,-77.00989532,38.89788437,,,-77.00993347,38.89782333,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Unknown,Removed,1,N,22942,202002123354,NoPolicy_
-77.009157559,38.884933626299997,2012127,Single,65110426,15081252,West,295.5213623,-77.00915527,38.88492584,,,-77.00906372,38.88492584,SOUTH CAPITOL ST NW,400,IPS Cash and Card,Active,Installed,1,N,21426,202002123354,
-77.013750455299999,38.868564756600001,2012128,Single,60581729,14000202,West,821.30133057,-77.01374817,38.86855698,,,-77.01366425,38.86855698,2ND ST SW,1700,IPS Cash and Card,Inactive,Removed,1,N,21269,202002123354,NoPolicy_
-77.008684536299995,38.883651888,2012129,Single,64100002,13049072,Southeast,5.02102709,-77.00868225,38.8836441,,,-77.00873566,38.88367081,CANAL ST SE,0,IPS Cash and Card,Unknown,Installed,1,N,21190,202002123354,
-77.029695896,38.885208284,2012130,Single,60840315,14001302,West,85.48516083,-77.0296936,38.8852005,,,-77.02961731,38.8852005,13TH ST SW,300,Duncan Single-Space,Unknown,Removed,1,N,21325,202002123354,NoPolicy_
-77.050226602699993,38.8957177765,2012131,Multi,20230492,11002302,West,610.49505615,-77.0502243,38.89570999,,,-77.05012512,38.89570999,23RD ST NW,400,Stelio,Active,Installed,8,N,-,202002123354,
-77.017420196299994,38.889438784,2012132,Multi,20640092,14000402,East,30.36293793,-77.01741791,38.889431,,,-77.01755524,38.889431,4TH ST SW,0,Strada,Active,Installed,8,N,21285,202002123354,
-77.017656707399993,38.889324343200002,2012133,Multi,20640091,14000402,West,43.00449753,-77.01765442,38.88931656,,,-77.01755524,38.88931656,4TH ST SW,0,Strada,Active,Installed,8,N,21286,202002123354,
-77.032076268,38.9032060284,2012134,Single,20141002,11001402,West,1517.72302246,-77.03207397,38.90319824,,,-77.0319519,38.90319824,14TH ST NW,1000,IPS Cash and Card,Inactive,Installed,1,N,22142,202002123354,
-77.063288133399993,38.943576976899998,2012135,Single,32074208,11025152,West,5182.390625,-77.06328583,38.94356918,,,-77.06318665,38.94360733,CONNECTICUT AVE NW,4200,Duncan Single-Space,Unknown,Removed,1,N,22486,202002123354,NoPolicy_
-77.042787941900002,38.901306309299997,2012136,Multi,21091892,11047772,South,2721.90820313,-77.04278564,38.90129852,,,-77.04278564,38.90133667,EYE ST NW,1800,Strada,Active,Installed,15,N,22587,202002123354,
-77.034632115400001,38.900959172199997,2012137,Single,22580833,11089442,Southeast,93.87312317,-77.03462982,38.90095139,,,-77.03468323,38.90097427,VERMONT AVE NW,800,IPS Cash and Card,Active,Installed,1,N,21789,202002123354,
-77.042627723799995,38.901405491299997,2012138,Multi,21091891,11047772,North,2708.02514648,-77.04262543,38.90139771,,,-77.04262543,38.90133667,EYE ST NW,1800,Strada,Active,Installed,14,N,22588,202002123354,
